Time,Sender,Content
2025-06-14 17:43:02,对方,我是茉莉花茶
2025-06-14 17:44:29,对方,那我先不玩儿啦，我现在要去吃饭了，你也去吃饭吧
2025-06-14 17:44:36,对方,我要去食堂买饭了，命苦
2025-06-14 17:44:39,我,好，我也去吃饭啦
2025-06-14 17:44:44,我,哈哈哈，这个点应该人很多
2025-06-14 17:44:48,我,辛苦了
2025-06-14 17:45:02,对方,对哦 现在是下课了
2025-06-14 18:58:05,我,主人，你忙完了打的话给我发消息喊我
2025-06-14 19:06:50,对方,好哦
2025-06-14 20:47:06,对方,timi
2025-06-14 20:47:17,我,稍等
2025-06-14 20:53:14,我,来
2025-06-14 21:49:29,对方,居然问主包男的女的
2025-06-14 21:49:43,我,哎呀，私密马赛
2025-06-14 21:49:46,我,阿里嘎多
2025-06-14 21:49:51,对方,😂😂
2025-06-14 21:49:58,我,刚突击的日语
2025-06-14 21:50:00,我,哦多桑
2025-06-14 21:50:05,我,这是什么
2025-06-14 21:50:24,我,我才看到你朋友圈
2025-06-14 21:50:43,我,不寄丢，我是学英语的
2025-06-14 21:50:58,对方,我明天就要考英语三级了
2025-06-14 21:51:00,我,我们2位之中，只有1人学过日语
2025-06-14 21:51:04,我,三级是什么
2025-06-14 21:51:10,对方,是谁呢？好难猜呀
2025-06-14 21:51:20,我,[流泪]
2025-06-14 21:51:29,我,和四级是一个派系的吗
2025-06-14 21:51:47,对方,比四级低一等
2025-06-14 21:51:57,我,soga
2025-06-14 21:52:10,我,那你要复习吗
2025-06-14 21:52:14,对方,不要
2025-06-14 21:52:20,我,要预习吗
2025-06-14 21:52:30,我,你的表情包好好玩，我从来没见过
2025-06-14 21:52:51,对方,包的包的
2025-06-14 21:52:58,对方,哈哈哈
2025-06-14 21:53:33,我,主包教我日语
2025-06-14 21:53:58,我,好命苦
2025-06-14 21:54:15,我,乔桑？
2025-06-14 21:54:19,我,这对吗
2025-06-14 21:54:35,我,明白了
2025-06-14 21:54:36,我,哇达西
2025-06-14 21:55:28,我,我懂了
2025-06-14 21:55:30,我,我悟了
2025-06-14 21:55:31,我,主人
2025-06-14 21:55:33,我,哇达西
2025-06-14 21:56:04,我,谢谢主包
2025-06-14 21:56:07,对方,🌺
2025-06-14 21:56:16,我,我想到了
2025-06-14 21:56:20,我,vegetable
2025-06-14 21:56:24,我,日语这个词怎么说
2025-06-14 21:57:25,对方,野菜
2025-06-14 21:57:53,我,圣诞快乐
2025-06-14 21:57:55,我,MerryChristmas
2025-06-14 21:58:34,我,教学相长
2025-06-14 21:58:36,我,[得意]
2025-06-14 21:58:57,对方,哇塞老师
2025-06-14 21:58:59,我,明白了
2025-06-14 21:59:02,我,٩( 'ω' )و get！
2025-06-14 21:59:33,我,bingo！
2025-06-14 21:59:42,我,棒棒哒
2025-06-14 21:59:54,我,有奖竞猜时间到
2025-06-14 22:00:05,我,剩余3次机会，猜猜主包我的专业
2025-06-14 22:01:37,我,我本科确实是某师范大学
2025-06-14 22:01:40,我,错了两次
2025-06-14 22:01:40,对方,懂了老师
2025-06-14 22:01:43,我,还剩一次了
2025-06-14 22:02:15,我,猜对了
2025-06-14 22:02:18,我,我就是计算机专业的
2025-06-14 22:02:21,我,你怎么知道的？！！！
2025-06-14 22:02:22,我,太厉害了
2025-06-14 22:02:42,我,奖励什么呢
2025-06-14 22:02:55,我,一朵月季花，[玫瑰]
2025-06-14 22:02:59,对方,哈哈哈哈
2025-06-14 22:03:19,我,（玫瑰花不是带刺吗）
2025-06-14 22:03:23,我,这个看起来光秃秃
2025-06-14 22:03:29,我,[委屈]
2025-06-14 22:03:35,对方,搜嘎
2025-06-14 22:03:38,我,耶
2025-06-14 22:04:08,我,你的表情包好可爱
2025-06-14 22:04:39,对方,哈哈哈
2025-06-14 22:04:50,对方,这是cc猫
2025-06-14 22:04:51,我,我的了
2025-06-14 22:04:52,对方,可爱吧
2025-06-14 22:04:55,我,可爱
2025-06-14 22:05:02,我,我的表情包耶比较可爱
2025-06-14 22:05:16,我,给你发个看看
2025-06-14 22:05:17,对方,哈哈哈
2025-06-14 22:05:35,对方,这是撒娇四连嘛
2025-06-14 22:05:44,我,还有晚安6连
2025-06-14 22:05:53,对方,哈哈哈哈
2025-06-14 22:05:55,我,这个叫三胖
2025-06-14 22:06:16,对方,可以 我认可了
2025-06-14 22:06:24,我,耶！
