Project,UnityVersion,Scripts,LOC,Files,Prefabs,Scenes,GameObjects
Rac-VR,2022.3.5f1,2004,237725,3599,326,17,3112
HoanKiemAirVR-Unity,2022.3.5f1,1842,234631,4021,442,128,220257
VRHackaton_UnityGame,2021.3.12f1,1210,173866,2899,327,79,9024
freiheit-diy,2020.3.31f1,1157,168127,1894,221,48,7853
RocketMan-a-VR-videogame-created-with-Unity,2020.3.32f1,959,137415,4062,760,86,10869
VRobot,2021.1.3f1,646,106443,2442,244,27,11742
5A-Prototype-VR,2019.4.10f1,471,81890,1869,125,51,31681
Modern-Cupid-VR,2021.3.27f1,951,69142,2130,57,34,1550
Orb-Odyssey,2022.3.8f1,323,48978,3068,267,61,10053
La-volonte-de-fer,2021.3.16f1,636,41708,1611,49,6,11523
Island-Visualizer-PCVR,2021.3.24f1,366,37745,820,74,28,1303
Min-Max,2023.1.8f1,160,34808,588,158,1,159
ExPresS-XR,2022.3.35f1,251,30496,1469,292,42,3184
SimpleVR,2019.1.0f2,153,30281,200,2,1,266
UnityCityView,2019.4.2f1,182,28335,446,24,34,1194
GOON,2020.3.34f1,218,27282,535,35,4,1151
unity-vr-maze,5.4.1f1,158,25261,212,13,1,278
UnityVR,2019.1.10f1,150,24858,330,13,3,124
SpatialAudioFields,2021.3.25f1,74,19258,366,53,4,301
plane-waver,2021.3.23f1,165,19075,1336,54,19,1015
SolarSystemExplorer,2022.3.4f1,45,17871,593,56,3,205
Vr-Polyhistory,2020.3.3f1,121,17407,1655,241,38,15771
CSAssessmentFramework,2021.3.11f1,131,16974,526,67,38,1516
TryNotDie,2022.3.45f1,151,15755,1289,154,12,5907
LatheMachine-VR,2022.3.38f1,90,14327,616,72,35,2066
PirateRushVR,2022.3.11f1,147,14244,1204,147,60,1959
Parkinson-App-Virtual-Reality,2021.3.1f1,132,13957,819,78,33,1540
Let-s-Talk-About-Safety-VR,2021.3.16f1,135,13180,858,180,13,1155
Castle-Quest-The-Search-For-The-Treasure,2021.3.17f1,128,13142,5303,2032,22,4436
Alexandria,2023.1.12f1,72,12187,1099,132,8,1266
Fruit-Ninja-VR-Unity,2021.3.16f1,106,12183,1708,242,10,1824
bpr2,2022.3.10f1,106,11997,1681,469,17,1666
MRIExperience,2022.3.22f1,111,11980,691,94,33,3233
vr_selection,2020.3.29f1,120,11880,533,63,26,3910
VGuns-Unity-VR,2020.3.39f1,81,10900,848,51,36,1653
6-Unity-VR-FactoryFrenzy,2022.3.15f1,102,10432,1018,143,8,783
